"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
531109,"ISHAN DYES  ","T ","Q",23.25,23.25,23.25,23.25,23.25,22.15,16,984,22878,,"17-02-2014"
531111,"GOTHI PLASCO","T ","Q",7,7,6.87,6.87,6.87,7.23,6,22900,160287,,"17-02-2014"
531115,"SYNERGY     ","T ","Q",0.23,0.23,0.23,0.23,0.23,0.22,2,303,69,,"17-02-2014"
531120,"PATEL ENGG. ","B ","Q",57.4,57.4,54.7,55.35,55.35,57.55,1314,111330,6224551,,"17-02-2014"
531129,"INANI MARBLE","B ","Q",118.2,126.25,118.2,124.75,124.75,121.85,48,473,58708,,"17-02-2014"
531134,"LE WATERINA ","B ","Q",1.4,1.44,1.34,1.34,1.34,1.36,57,15040,20781,,"17-02-2014"
531137,"GEMSTONE INV","T ","Q",0.82,0.82,0.82,0.82,0.82,0.81,1,1,0,,"17-02-2014"
531144,"EL FORGE LTD","T ","Q",4.3,4.49,4.3,4.49,4.49,4.28,9,945,4185,,"17-02-2014"
531147,"ALICON      ","B ","Q",77.9,81.5,75,76.5,76.5,75,171,2798,217560,,"17-02-2014"
531157,"ORGANIC COAT","B ","Q",5.32,5.32,5.32,5.32,5.32,5.42,1,20,106,,"17-02-2014"
531160,"SAUMYACAP   ","B ","Q",2.4,2.4,2.4,2.4,2.4,2.42,2,45,108,,"17-02-2014"
531161,"ABM KNOWLEDG","B ","Q",42,42.7,38.7,39.1,40,40.7,63,1669,67021,,"17-02-2014"
531162,"EMAMI LTD.  ","A ","Q",435,440,427,434.25,434.25,435.15,707,8726,3785629,,"17-02-2014"
531171,"DEVIKA PROT.","T ","Q",7,7.3,7,7.3,7.3,7,23,97781,692174,,"17-02-2014"
531173,"SYSCHEM (I) ","B ","Q",0.91,0.91,0.87,0.88,0.87,0.9,3,500,440,,"17-02-2014"
531175,"BLS INFOTE  ","B ","Q",0.22,0.22,0.22,0.22,0.22,0.22,5,4500,990,,"17-02-2014"
531176,"MEFCOM CAPIT","T ","Q",11.88,11.88,11.88,11.88,11.88,11.32,1,1,11,,"17-02-2014"
531178,"BCC FINANCE ","B ","Q",7.17,7.17,7.17,7.17,7.17,7.54,12,150,1075,,"17-02-2014"
531179,"ARMAN FIN   ","T ","Q",18.2,20,18.2,20,20,19.15,13,2717,53517,,"17-02-2014"
531190,"TAVERNIER   ","B ","Q",22.6,22.6,22.6,22.6,22.6,23.05,1,50,1130,,"17-02-2014"
531192,"ASSOC.FINLEA","T ","Q",53.75,53.75,53.75,53.75,53.75,54.8,2,55,2956,,"17-02-2014"
531196,"GAGAN POLYCO","T ","Q",9.44,9.44,8.97,8.97,8.97,9.44,11,800,7411,,"17-02-2014"
531198,"DHANADACOL  ","T ","Q",4.43,4.43,4.43,4.43,4.43,4.66,1,70,310,,"17-02-2014"
531201,"SHILCHAR TEC","B ","Q",49.95,49.95,49.95,49.95,49.95,52.55,2,100,4995,,"17-02-2014"
