SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533103,JINDALCOTEX ,B ,Q,18.25,18.55,17.60,17.65,17.65,17.55,902,102367,1836810.00,
533104,GLOBUS SPR  ,B ,Q,79.85,80.45,78.80,78.95,78.80,79.55,237,6943,551150.00,
533106,OIL INDIA   ,A ,Q,580.00,581.05,559.00,575.45,575.45,582.40,1788,144156,83021105.00,
533107,PIPAVAVDOC  ,A ,Q,54.85,55.00,52.15,53.05,53.05,54.80,2189,177208,9497739.00,
533108,BHILWRA TEC ,B ,Q,7.85,9.00,7.85,8.01,8.01,8.40,38,9298,75646.00,
533109,EURO MULTI  ,T ,Q,3.59,3.67,3.59,3.67,3.67,3.50,19,15409,55754.00,
533110,SH PRECOTED ,T ,Q,3.70,3.90,3.66,3.66,3.66,3.85,20,3087,11369.00,
533121,THINKSOFT   ,B ,Q,485.00,485.00,450.70,477.55,481.00,483.35,1620,18498,8648821.00,
533122,INDIAB POWER,B ,Q,11.45,11.60,11.00,11.09,11.09,11.46,1637,864187,9663459.00,
533137,DEN NETWORK ,B ,Q,211.30,213.90,208.00,210.70,210.00,211.50,362,3127,664594.00,
533138,ASTEC LIFE  ,B ,Q,58.25,61.45,57.50,61.45,61.45,58.55,614,191183,11684266.00,
533144,COX KINGS   ,B ,Q,255.00,258.00,255.00,255.90,255.90,258.25,1121,33389,8551557.00,
533146,DLINK IND   ,T ,Q,71.50,73.30,70.50,72.75,73.20,73.70,154,7767,558807.00,
533148,JSW ENERGY  ,A ,Q,80.00,80.40,77.00,77.45,77.45,79.65,2714,234399,18353289.00,
533149,ESSAR SECU  ,B ,Q,53.80,53.80,45.35,46.05,46.85,49.50,70,1828,85413.00,
533150,GODREJ PROP ,B ,Q,234.00,234.55,228.85,230.10,230.10,234.80,1370,17891,4132248.00,XD
533151,D B CORP    ,B ,Q,323.25,324.00,320.75,322.85,322.85,322.80,80,557,179905.00,
533152,MBL INFRA   ,B ,Q,286.90,294.70,283.15,288.45,289.75,289.80,142,2854,825509.00,
533154,INFINITE    ,B ,Q,151.00,151.00,143.60,144.20,144.40,148.60,189,2999,440813.00,
533155,JUBL FOOD   ,A ,Q,1293.30,1305.20,1240.50,1252.95,1252.95,1293.30,1118,7776,9842854.00,
533156,VASCON ENG  ,B ,Q,27.00,27.15,27.00,27.00,27.00,28.05,17,1310,35427.00,
533157,SYNCOM HEAL ,B ,Q,6.25,6.25,5.66,5.95,5.82,5.89,281,47648,279914.00,
533158,THANGAMAYIL ,T ,Q,192.25,192.25,192.25,192.25,192.25,199.50,2,10,1922.00,
533160,D B REALTY  ,T ,Q,83.00,84.00,80.55,81.55,81.55,83.90,204,9017,734718.00,
533161,EMMBI       ,B ,Q,14.70,14.70,14.20,14.50,14.50,14.60,41,12636,182831.00,
533162,HATHWAY CAB ,B ,Q,310.25,314.85,306.10,313.20,313.50,310.25,32,92,28617.00,
533163,ARSS INFRA  ,T ,Q,52.75,54.50,52.30,53.30,53.30,55.05,232,16170,858627.00,
533164,TEXMO PIPES ,B ,Q,15.50,16.35,15.50,16.12,16.16,15.48,643,66563,1058868.00,
533166,SUNDARAMMUL ,B ,Q,3.41,3.51,3.36,3.41,3.44,3.43,126,61332,210099.00,
533167,CORO ENGG   ,B ,Q,60.00,60.35,58.05,59.50,59.50,59.55,260,8919,525541.00,
533168,ROSSELL IND ,T ,Q,61.00,61.75,60.00,61.75,61.75,62.15,18,2083,126377.00,
533169,MAN INFRA   ,B ,Q,157.10,161.40,155.50,158.10,157.50,158.95,314,7526,1184164.00,
533170,TAMBOLI CAP ,B ,Q,28.10,28.65,26.10,27.20,27.20,27.90,24,3099,85417.00,
533171,UNITED BANK ,B ,Q,54.00,54.00,50.00,51.35,51.35,49.00,7921,699714,36379208.00,
533176,DQ ENT      ,B ,Q,25.00,27.00,25.00,25.40,25.40,24.90,420,47404,1230610.00,
533177,IL&FS TRANS ,B ,Q,236.05,236.65,229.50,233.90,234.20,236.05,1439,32496,7557936.00,
533178,PRADIPOVERS ,B ,Q,3.80,3.98,3.80,3.89,3.89,3.76,51,12887,49461.00,
533179,PERSISTENT  ,B ,Q,1253.00,1357.70,1200.00,1312.85,1295.55,1285.30,3945,64457,84066411.00,
533180,SGJHL       ,B ,Q,32.40,32.45,30.80,31.25,31.05,32.40,153,8960,281083.00,
533181,INTRASOFT   ,B ,Q,46.35,47.70,45.00,46.30,45.60,49.00,42,899,41499.00,
533189,GOENKA DIAM ,B ,Q,3.25,3.42,3.15,3.31,3.35,3.25,193,51159,166507.00,
533192,KCP SUGAR IN,B ,Q,21.90,21.90,20.25,21.45,21.45,21.10,69,2925,61095.00,
533193,KIRLOSKAR EL,B ,Q,31.15,32.00,31.10,31.15,31.10,31.90,47,2892,90835.00,
533200,TALWALKAR   ,B ,Q,200.60,213.00,195.55,208.70,208.70,199.60,2693,57351,11703874.00,
533202,NITESH EST  ,B ,Q,14.60,15.00,14.55,14.60,14.60,14.95,41,3581,52385.00,
533203,TARAPUR TRA ,B ,Q,7.71,8.00,7.70,8.00,8.00,8.00,16,2900,22793.00,
533204,MANDHANA    ,B ,Q,236.25,242.00,234.00,234.80,234.00,237.05,186,16504,3894592.00,
533206,SJVN        ,B ,Q,23.80,25.00,23.25,24.70,24.70,23.95,2193,551858,13508389.00,
533207,JPINFRATEC  ,A ,Q,33.05,33.85,31.65,31.90,31.90,33.35,5313,997217,32191642.00,
533208,EMAMI PAPER ,B ,Q,40.00,40.00,36.35,37.30,37.30,39.80,22,5715,221148.00,
533210,KRITI NUTRI ,B ,Q,4.25,4.25,4.08,4.08,4.08,4.50,7,1780,7296.00,
533211,PARAB DRUGS ,B ,Q,7.30,7.54,7.03,7.41,7.54,7.31,28,2776,20326.00,
533212,GKB OPHTHA  ,B ,Q,37.50,41.60,37.50,38.30,38.00,37.95,76,6671,263783.00,
533213,FRONT SEC   ,B ,Q,60.00,60.00,60.00,60.00,60.00,61.10,8,400,24000.00,
533216,TECHNOFAB   ,B ,Q,141.00,147.80,141.00,144.75,145.00,149.80,41,171,24455.00,
533217,HMVL        ,B ,Q,160.05,161.30,157.00,158.20,158.20,158.10,204,2721,431051.00,
533218,EMAMI INFRA ,B ,Q,25.85,27.25,25.70,27.25,27.25,26.65,50,5485,146920.00,
533219,SHRIASTER   ,T ,Q,9.60,9.60,9.60,9.60,9.60,10.10,2,10,96.00,
533221,ASIAN HTL W ,B ,Q,109.00,110.00,107.60,108.20,108.20,110.00,12,161,17503.00,
533227,ASIAN HTL E ,B ,Q,222.00,225.00,218.00,218.15,218.15,225.40,55,1029,228876.00,
533228,SKS MICRO   ,B ,Q,287.00,288.30,276.45,277.95,277.95,287.00,6355,190068,53616031.00,
533229,BAJAJ CORP  ,B ,Q,232.95,233.70,229.05,229.80,229.80,230.15,187,2575,593025.00,
533230,HDFCMFGETF  ,E ,Q,2671.99,2672.00,2650.10,2650.97,2650.10,2640.05,44,155,412290.00,
533239,PRAKASHSTL  ,B ,Q,120.85,121.85,118.05,119.20,119.45,120.85,186,12449,1502159.00,
533244,IGOLD       ,E ,Q,2600.55,2650.00,2600.55,2611.00,2611.00,2642.01,8,9,23682.00,
533248,GPPL        ,B ,Q,149.00,154.80,138.25,140.30,140.30,143.60,26262,1539928,224480125.00,
533252,WELSPUN INV ,T ,Q,30.70,31.20,29.05,31.00,31.00,29.75,24,1115,34497.00,
533256,HIRA FERRO  ,B ,Q,31.20,31.30,31.15,31.20,31.15,31.10,9,502,15667.00,
533257,INDOSOLAR   ,T ,Q,6.81,7.10,6.72,6.73,6.72,7.07,253,141251,955449.00,
533258,TIRUPATI IN ,T ,Q,13.10,13.15,13.06,13.06,13.06,13.39,16,2976,38996.00,
533259,MICROSECFIN ,B ,Q,52.00,53.00,51.05,51.20,51.20,51.00,34,1808,92734.00,
533260,CAREERP     ,B ,Q,123.25,125.00,123.25,125.00,125.00,129.35,6,70,8662.00,
533261,EROS MEDIA  ,B ,Q,222.95,224.00,217.15,221.30,221.30,221.00,2087,41156,9102761.00,
533262,RAMKY INFRA ,B ,Q,66.90,68.85,65.00,66.00,66.00,68.25,184,4220,279087.00,
533263,GREENPOWER  ,T ,Q,15.00,15.00,14.75,14.75,14.75,15.50,163,70873,1046991.00,
533264,ELECTROSTEEL,B ,Q,5.32,5.63,5.13,5.20,5.20,5.38,367,209913,1115528.00,
533265,GALLISPAT   ,B ,Q,434.15,435.00,426.30,429.75,429.65,435.00,960,40693,17577893.00,
533266,TECPRO SYS  ,T ,Q,20.05,20.40,19.95,19.95,19.95,21.00,68,9838,197319.00,
533268,SEATV       ,B ,Q,13.50,14.35,13.50,14.20,14.20,14.00,107,7017,96831.00,
533269,VATECH WABA ,T ,Q,1475.50,1499.00,1441.00,1477.90,1451.00,1500.25,240,1337,1968563.00,
533270,BEDMUTHA IN ,B ,Q,14.70,15.40,14.70,14.70,14.70,15.30,12,251,3794.00,
533271,ASHOKA      ,B ,Q,137.00,137.70,129.90,130.90,131.00,138.55,1189,33130,4374326.00,
533272,CEBBCO      ,T ,Q,18.55,18.85,17.15,18.60,18.60,18.05,113,52848,963067.00,
533273,OBEROI REAL ,A ,Q,260.80,263.95,254.20,261.35,260.15,262.55,809,9281,2393409.00,
533274,PRESTIGE    ,A ,Q,249.70,260.00,244.00,257.90,257.90,252.60,1789,34444,8701246.00,
533275,GYSCOAL     ,B ,Q,43.90,44.00,41.65,43.90,43.90,42.90,45,9701,422265.00,
533276,BSLIMITED   ,B ,Q,35.65,36.55,35.10,35.85,36.00,35.75,846,448732,16116378.00,
533278,COAL INDIA  ,A ,Q,378.65,378.65,363.20,364.40,364.40,376.20,12819,514903,188099260.00,
533281,TECHNO ELE  ,B ,Q,285.05,287.95,281.50,281.95,282.00,288.55,254,4778,1361892.00,
533282,GRAVITA     ,B ,Q,73.05,73.50,72.00,72.40,72.40,72.65,180,8330,604888.00,
533284,RPP INFRA   ,B ,Q,89.00,89.00,77.00,77.50,77.50,77.40,140,12221,955518.00,
533285,RDB REALTY  ,B ,Q,27.70,28.70,26.05,28.50,28.70,27.35,103,17476,498336.00,
533286,MOIL LTD    ,B ,Q,297.00,300.50,295.65,296.95,296.95,294.60,677,10005,2978579.00,
533287,ZEE LEARN   ,B ,Q,32.00,32.00,30.80,31.75,31.75,31.65,310,92489,2919280.00,
533288,CLARIS LIFE ,B ,Q,162.85,173.00,161.35,168.50,168.50,159.40,5754,194618,32974827.00,
533289,KESAR TERMI ,B ,Q,159.00,168.00,158.00,166.60,168.00,158.80,362,13169,2142106.00,
533292,A2ZMES      ,B ,Q,34.90,36.00,33.20,33.20,33.20,34.90,1648,253833,8551180.00,
533293,KIRLOIL ENG ,B ,Q,270.90,273.55,260.10,263.20,262.00,267.40,267,2279,608543.00,
533294,RAVI KUMAR  ,B ,Q,6.25,6.40,6.05,6.20,6.20,6.13,65,16742,105169.00,
533295,PUNJABNSIND ,B ,Q,68.00,69.00,65.90,66.20,66.20,66.45,818,40233,2684073.00,
533296,FMNL        ,B ,Q,16.75,16.75,15.96,15.96,15.96,15.96,46,20288,339512.00,
533297,KIRL INVEST ,B ,Q,1395.00,1397.00,1301.00,1330.00,1358.00,1350.05,67,505,688501.00,
533298,SURANA VENT ,T ,Q,66.05,67.95,66.00,66.05,66.20,65.00,74,8966,594965.00,
533301,SHEKHAWATI  ,B ,Q,2.26,2.27,2.19,2.25,2.25,2.17,81,65334,147405.00,
533302,KALYANI INV ,B ,Q,689.00,689.00,660.25,678.65,680.00,679.00,10,110,75668.00,
