"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
590066,"KCP LTD     ","B ","Q",26.95,27.75,26.85,27.25,27.25,27,67,4832,131808,,"14-02-2014"
590070,"RADAAN MEDIA","B ","Q",0.75,0.75,0.74,0.74,0.74,0.72,2,2,1,,"14-02-2014"
590071,"SUNDARAM FIN","B ","Q",610,610,596,598.35,598.15,606.3,105,436,261449,,"14-02-2014"
590072,"SUNDARAM BRK","T ","Q",175,175,170.25,170.25,170.25,170.25,5,53,9037,,"14-02-2014"
590073,"WHEELS INDIA","B ","Q",636,720,617,667.75,667.75,749.65,14641,131921,89516828,,"14-02-2014"
590074,"ORTIN LABS  ","T ","Q",12.3,12.49,11.35,11.75,12.15,11.9,4,264,3258,,"14-02-2014"
590075,"LAMBODHARA T","B ","Q",120,124.3,119.55,121.9,120,118.1,22,4011,489020,,"14-02-2014"
590076,"CAMSON BIO  ","B ","Q",60.05,60.1,58,58.85,58.95,59.95,378,17440,1027714,,"14-02-2014"
590077,"RANKLIN SOLU","B ","Q",2.06,2.06,2.06,2.06,2.06,1.98,6,1585,3265,,"14-02-2014"
590078,"MAITHAN ALL ","B ","Q",58.5,58.5,58,58,58,56.25,13,500,29010,,"14-02-2014"
590079,"JOONKTOLLEE ","B ","Q",142.65,142.65,142.65,142.65,142.65,135.9,9,19,2710,,"14-02-2014"
590083,"MAVENS BIO  ","B ","Q",0.87,0.87,0.8,0.8,0.8,0.84,9,5504,4473,,"14-02-2014"
590085,"GLOSTER     ","B ","Q",149,149,148.5,148.5,148.5,150,13,115,17091,,"14-02-2014"
590086,"ORISSA MINE ","B ","Q",2323.4,2344,2271.15,2290.45,2282,2303.9,586,1540,3538900,,"14-02-2014"
590088,"ADINATH BIO ","B ","Q",0.17,0.17,0.17,0.17,0.17,0.18,11,22588,3839,,"14-02-2014"
590090,"SWAGRO      ","B ","Q",2.8,2.8,2.8,2.8,2.8,2.94,1,1,2,,"14-02-2014"
590091,"TRINETHRA IN","T ","Q",0.69,0.69,0.69,0.69,0.69,0.66,6,17600,12144,,"14-02-2014"
590094,"FARMAX IND  ","T ","Q",0.32,0.34,0.32,0.34,0.34,0.33,7,26300,8932,,"14-02-2014"
590095,"GOLDBEES    ","E ","Q",2805,2810,2802.01,2805.8,2805,2793.91,617,3170,8895076,,"14-02-2014"
590096,"LIQUIDBEES  ","E ","Q",1000,1000.01,999.99,999.99,999.99,999.99,191,10094,10093932,,"14-02-2014"
590097,"KOTAKGOLDETF","E ","Q",2809,2815,2800.6,2810,2810,2795.45,58,219,614133,,"14-02-2014"
590098,"SBI GOLD ETS","E ","Q",2856.5,2875,2855,2866.43,2860,2856.68,130,337,966177,,"14-02-2014"
590099,"QUANTUM GOLD","E ","Q",1404.05,1406,1398,1400,1404.05,1396.83,36,60,84082,,"14-02-2014"
