SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
517530,SURANATP    ,T ,Q,22.50,23.05,22.50,22.90,22.90,22.30,22,5427,123799.00,
517536,ONWARD TECHN,T ,Q,62.65,63.00,60.75,60.75,60.75,63.90,28,2786,174551.00,
517544,CENTUM ELEC ,B ,Q,399.15,411.00,387.00,390.80,390.80,394.25,1078,15899,6356655.00,
517546,ALFA TRANSFO,B ,Q,18.00,18.00,18.00,18.00,18.00,19.40,3,250,4500.00,
517552,ADVANCED MIC,B ,Q,14.70,14.70,14.70,14.70,14.70,15.00,2,5,73.00,
517554,NHCFOODS    ,B ,Q,35.90,35.90,33.15,33.35,33.35,34.65,370,45883,1567756.00,
517556,PVP VENT LTD,B ,Q,8.30,8.30,7.66,7.74,7.74,8.07,239,30288,236870.00,
517562,TRIGYN TECH ,B ,Q,28.00,28.20,27.20,27.80,27.70,28.65,86,6458,180062.00,
517564,G.R.CABLES  ,T ,Q,0.51,0.51,0.50,0.50,0.50,0.51,10,5071,2585.00,
517569,KEI INDUST. ,B ,Q,34.30,34.30,31.40,32.90,32.90,33.95,1107,98847,3251908.00,
517571,IMPPOWERS   ,T ,Q,48.20,52.00,48.15,50.00,50.00,50.65,12,428,20982.00,
517973,DMC EDU     ,T ,Q,1.58,1.58,1.58,1.58,1.58,1.61,6,400,632.00,
518011,KEERTHI     ,T ,Q,13.90,15.30,13.90,14.03,15.30,14.60,8,573,8034.00,
518017,BHEEMA CEM  ,T ,Q,19.10,19.10,18.40,18.40,18.40,18.75,8,645,11899.00,
518029,GUJ.SIDH.CEM,B ,Q,26.40,26.40,25.25,26.05,26.25,26.45,202,24729,636788.00,
518075,SURAJ PRODUC,B ,Q,14.50,15.25,14.50,15.25,15.25,15.25,4,305,4426.00,
518091,ANJANI PORTL,B ,Q,47.00,47.00,47.00,47.00,47.00,48.50,4,107,5029.00,
519003,MODINATURAL ,B ,Q,17.65,18.55,17.65,18.55,18.55,19.20,4,325,5826.00,
519031,SHAH FOOD(P),T ,Q,48.45,51.00,48.45,51.00,51.00,51.00,8,11,535.00,
519035,WADALA COMM ,B ,Q,3.00,3.00,3.00,3.00,3.00,3.00,2,250,750.00,
519091,TASTY BITE  ,B ,Q,295.00,308.80,290.00,308.30,308.30,295.00,28,1162,354912.00,
519105,AVT NATURAL ,B ,Q,45.00,45.50,39.50,41.00,41.00,45.45,1539,132823,5500087.00,
519136,NAHAR INDUST,B ,Q,74.95,77.65,74.50,74.65,74.50,76.10,47,3237,243419.00,
519152,VADILAL ENT ,T ,Q,153.05,161.95,153.05,161.95,161.95,160.00,9,451,69254.00,
519156,VADILAL IND ,B ,Q,198.60,202.50,195.60,197.00,198.70,199.90,92,1154,230494.00,
519183,ADF FOODS LT,B ,Q,58.90,59.00,56.75,57.05,57.05,59.20,599,19050,1099908.00,
519214,WILLIAM.FIN.,T ,Q,25.65,25.65,24.50,24.50,24.50,24.50,17,1273,32594.00,
519216,AJANTA SOYA ,B ,Q,17.15,17.15,16.05,16.20,16.70,16.65,35,6344,104361.00,
519224,WILLIAM.MAGO,B ,Q,51.00,51.00,48.10,48.10,48.10,50.25,4,528,26266.00,
519230,RICHIRICH   ,B ,Q,3.30,3.30,3.30,3.30,3.30,3.15,2,150,495.00,
519234,SIEL        ,T ,Q,145.00,145.00,145.00,145.00,145.00,152.50,2,5,725.00,
519248,JVL AGRO    ,B ,Q,16.85,17.15,16.30,16.50,16.35,16.95,137,21151,352606.00,
519260,SANWARIA AGR,B ,Q,8.70,8.94,8.60,8.62,8.70,8.81,452,34818,305608.00,
519262,PRIMA AGRO L,T ,Q,4.95,4.95,4.95,4.95,4.95,4.72,2,100,495.00,
519273,UNNO INDUS. ,B ,Q,18.45,18.45,17.20,17.30,17.30,17.60,142,134954,2359461.00,
519279,MADHUR IND  ,B ,Q,22.30,24.45,22.25,22.70,22.30,23.40,56,12181,272605.00,
519281,AGRO DUTCH I,T ,Q,2.60,2.60,2.45,2.53,2.50,2.54,41,10963,27796.00,
519287,MODERN DAIRI,B ,Q,17.45,17.50,17.00,17.25,17.25,17.85,65,6231,107092.00,
519295,BAMBINO AGRO,T ,Q,62.05,62.05,60.85,62.00,60.85,63.60,8,301,18665.00,
519307,VIKAS WSP   ,B ,Q,19.00,19.00,18.00,18.10,18.10,18.75,798,270307,4946856.00,
519323,MURLI INDU  ,T ,Q,8.10,8.55,8.10,8.50,8.50,8.50,20,847,6862.00,
519359,POONA DAL   ,B ,Q,18.05,18.05,18.05,18.05,18.05,18.95,12,1000,18050.00,
519373,VIMAL OIL FD,B ,Q,166.50,166.70,163.00,163.00,163.00,166.25,78,6085,1004925.00,
519383,ANIK INDS   ,T ,Q,31.00,31.60,31.00,31.50,31.50,31.05,6,193,6057.00,
519421,KSE LIMITED ,T ,Q,365.00,365.00,359.00,360.00,360.00,359.95,43,679,246209.00,
519455,NARBADA     ,T ,Q,6.69,6.69,6.69,6.69,6.69,7.04,3,1000,6690.00,
519457,VIRAT CRANE ,T ,Q,8.01,8.01,7.30,7.90,7.90,7.67,34,6125,46932.00,
519475,CHORDIA FOOD,B ,Q,55.10,56.40,55.10,56.40,56.40,55.00,4,150,8330.00,
519479,OMEGA AGSEED,B ,Q,14.25,14.25,14.25,14.25,14.25,14.75,106,2692,38361.00,
519500,BKV INDUSTRS,T ,Q,2.34,2.34,2.34,2.34,2.34,2.30,26,827,1935.00,
519532,ASIAN TEA   ,B ,Q,18.05,18.05,16.50,17.70,17.70,17.20,31,1371,23276.00,
519552,HERITGFOOD  ,B ,Q,308.10,314.80,304.00,304.95,304.95,308.70,815,10978,3375954.00,
519560,NEHA INTER. ,B ,Q,13.40,13.40,12.75,12.75,12.75,13.42,34,4602,59292.00,
519570,LAKSHMI OVER,B ,Q,18.50,18.60,18.00,18.05,18.05,18.50,351,26432,482027.00,
519586,SMILAX      ,B ,Q,6.23,6.23,5.75,6.02,5.78,6.05,30,5165,31755.00,
519588,DFM FOODS   ,B ,Q,278.00,285.95,278.00,285.95,285.95,280.00,7,146,41025.00,
519600,CCL PRODUCTS,B ,Q,71.00,73.25,69.30,69.55,69.55,70.55,1824,144031,10273406.00,
519602,KELLTONTEC  ,B ,Q,10.20,10.25,9.85,9.88,10.10,9.89,26,4511,44625.00,
519612,MAHAAN FOODS,B ,Q,12.00,12.20,11.71,11.83,11.83,12.59,57,8680,102640.00,
520008,RICO AUTO   ,B ,Q,22.50,22.85,21.85,21.85,21.85,22.95,405,95889,2111693.00,
520021,OMAX AUTOS. ,T ,Q,44.00,44.40,42.70,42.85,44.40,44.90,26,4437,190359.00,
520026,HELLA IND   ,T ,Q,132.55,142.95,132.25,135.60,135.60,137.55,50,912,121499.00,
520043,MUNJAL SHOWA,B ,Q,137.30,139.00,135.60,137.95,137.95,137.95,146,4217,581328.00,
520051,JAMNA AUTO  ,B ,Q,119.90,119.90,113.50,114.50,114.50,117.15,14,95,10839.00,
520056,SUNDAR.CLAY ,T ,Q,1450.00,1450.00,1393.25,1393.25,1393.25,1466.55,90,396,558883.00,
520057,SONA KOYO ST,B ,Q,38.60,38.85,37.25,37.40,37.50,38.45,1403,88394,3359317.00,
520059,MUNAUTO     ,B ,Q,78.90,79.50,77.75,78.25,78.95,78.00,166,4637,365021.00,
520066,JAYBH.MARUTI,T ,Q,95.00,95.00,88.40,89.05,89.00,90.60,91,3188,286692.00,
520073,RAUNAQ AUTO ,B ,Q,14.02,15.43,14.02,14.02,14.02,14.75,42,1081,15329.00,
520075,SAMKRG PIST.,B ,Q,96.35,103.70,91.00,102.85,102.85,97.20,1526,89662,9059860.00,
520077,AMTEK AUTO  ,B ,Q,241.85,243.10,240.15,241.70,241.70,240.85,1513,36952,8924871.00,
520086,SICAL LOG   ,T ,Q,108.50,108.50,101.85,102.75,101.85,107.20,200,10979,1132556.00,
520111,RATNAMNI MET,B ,Q,431.50,431.50,420.00,420.65,422.95,431.45,160,862,363277.00,
520113,VESUVIUS IND,B ,Q,740.00,742.50,715.00,717.50,715.00,737.60,107,348,253552.00,
520115,BRAKES AUTO ,B ,Q,4.99,4.99,4.65,4.66,4.65,4.80,92,32690,159390.00,
520119,AUTOMOTIVE S,B ,Q,45.60,46.30,43.60,44.40,44.40,44.10,67,9153,420621.00,
520123,ABC INDIA   ,B ,Q,94.50,94.50,90.25,91.10,91.10,94.55,14,995,92929.00,
520141,SIBAR AUTO  ,B ,Q,5.53,5.53,5.53,5.53,5.53,5.27,2,10,55.00,
520151,SHREY SH LOG,B ,Q,34.05,34.05,32.90,34.00,34.00,34.60,35,1936,64700.00,
520155,ABG INFRALOG,B ,Q,89.00,89.00,83.15,87.50,87.50,86.10,12,442,38163.00,
521005,INDOVATION  ,T ,Q,33.40,33.40,33.40,33.40,33.40,32.75,22,7942,265262.00,
521014,EUROTEX IND ,B ,Q,32.50,34.00,32.45,32.45,32.45,34.15,20,1370,45419.00,
521016,INDO COUNT  ,B ,Q,119.95,119.95,112.00,119.95,119.95,114.25,1116,117903,14022794.00,
521018,MARAL OVERS ,B ,Q,26.55,26.55,26.00,26.10,26.00,27.00,48,3965,104558.00,
521022,SURYAJYOTI S,B ,Q,13.12,13.12,12.51,12.86,12.55,12.50,82,21701,283435.00,
521030,NAKODA      ,B ,Q,4.90,5.36,4.89,5.36,5.36,4.88,956,419448,2211491.00,
521034,SOMA TEXTILE,T ,Q,4.53,4.80,4.53,4.80,4.80,4.70,10,1100,5064.00,
521048,ADV LIFESTY ,T ,Q,11.20,11.20,11.20,11.20,11.20,11.78,7,425,4760.00,
521054,KAKATIYA TEX,T ,Q,5.40,5.50,5.23,5.23,5.23,5.50,12,2650,14296.00,
521056,CHESLIND TEX,B ,Q,8.32,8.44,8.11,8.44,8.44,8.34,34,3122,26001.00,
521062,OCTAVE      ,B ,Q,19.60,19.65,19.00,19.15,19.45,19.55,546,61474,1201653.00,
521064,TRIDENT     ,B ,Q,22.05,22.60,21.00,21.70,21.70,22.20,985,113681,2465818.00,
521070,ALOK INDS.  ,B ,Q,13.35,13.35,12.60,12.78,12.78,13.22,6115,2966072,38218992.00,
521076,AMIT SPIN.  ,T ,Q,1.79,1.79,1.79,1.79,1.79,1.79,2,500,895.00,
521080,PASARI SPIN ,T ,Q,2.68,2.68,2.68,2.68,2.68,2.63,2,10,26.00,
521082,SPENTEX INDS,T ,Q,5.60,5.60,5.13,5.13,5.13,5.40,55,8307,42761.00,
521097,AMARJOTHI SP,B ,Q,81.05,82.85,78.00,81.85,81.00,82.55,27,1650,134277.00,
